Unnamed: 0,date,lat,lon,panoID,probability ,wall,building,sky,greenery,terrain type ,vehicles,path ,person,fence,signboard,pole,bicycle
869,2020-08,44.47667349246075,11.37010782348171,UQt26oV6nCbl7yOxvs7JWg,0.443272004,0.75,33.17,10.51,15.04,0,4.32,32.76,0.24,2.42,0.66,0.03,0
870,2023-04,44.51836754714856,11.33927033942535,LVykiyhwfZ3gh3LUfebYSw,0.567128368,0.52,42.95,8.91,4.36,0,10.85,28.49,0,2.49,0.59,0.24,0.45
871,2022-05,44.51777346216511,11.33831355848449,S4GMXpHw9TYItfH8Dx87Fg,0.573761084,3.42,49.91,3.95,12.18,0,10.62,15.14,0,1.8,0,0,0
872,2022-05,44.52142280427338,11.33818029383165,zFsuFOdl9agoKNHtxA4OsA,0.563236704,2.11,10.56,25.69,16.19,0,2.06,38.37,0.02,1.93,0.14,0,0
873,2022-05,44.51434225760323,11.35070049171475,QEcEBSEwAq9HBr8NHVJbfg,0.51773338,4.44,61.33,5.74,4.07,0,3.18,13.33,0,1.29,0.14,1.05,0
874,2022-05,44.57229265631572,11.36548784362047,W5r7WvGvVxEfSkpc7-GjQg,0.247682764,1.34,20.56,23.02,24.6,0,0.28,26.93,0,2.64,0,0,0
875,2022-05,44.51549827704832,11.33133911832431,GvPJXfmEc1RKAeQw3UX8ow,0.615926229,2.31,17.18,13.54,25.47,0,2.64,26.29,0,9.59,1.94,0.05,0
876,2022-01,44.47726140195029,11.36278755503358,#NAME?,0.486521347,0,0,0,0,0,0,0,0,0,0,0,0
877,2023-07,44.47562728732802,11.36144294,zfEJ3W_6BLjYtD_Pa1Rrgg,0.493870902,0,0,0,0,0,0,0,0,0,0,0,0
878,2022-04,44.47486314,11.37113901355807,0CDL0GIKhz1lU0RBMRCK3g,0.436567771,5.76,41.96,9.48,16.54,0,6.03,11.22,0,5.38,0.13,0.43,0
879,2022-06,44.47450052472076,11.36808895351119,eaEK7UXYdmxv2p1YIS7I7g,0.454337659,0.67,45.86,15.29,4.24,0,2.66,28.07,0.01,0,0.4,0.56,0
880,2022-04,44.48066830393198,11.39273551,87SP4bcyzK-3CxuWkY-tCg,0.31065187,0,0.18,15.3,54.38,0,2.72,26.83,0,0,0.04,0,0
881,2022-05,44.51938252020493,11.32435473924437,4d7wYiXXbtQ5ar0tLs4YtQ,0.636756966,0.71,8.24,26.76,25.65,0,0.3,35.29,0,2.72,0.19,0,0
882,2022-05,44.52210711662794,11.32698542050522,XaMMzYY9BujpUzao0A228Q,0.614649586,0.93,7.36,12.4,43.37,0,0.56,32.48,0.07,1.35,0.88,0,0
883,2022-03,44.51303377750545,11.31651610143071,KwM5IsrTrFey87OfnfBOOA,0.696178074,8.72,13.19,35.41,14.93,0,0.3,24.57,0,1.16,0.22,0,0
884,2022-05,44.51432244920969,11.31193675524204,l5PhypT2FXP7aRU90OIx3w,0.711984267,0.86,22.82,12.9,33.02,0.24,8.07,11.83,0,2.1,0.05,0,0
885,2022-05,44.51391510491478,11.30928487851165,pBhWW8JL6JudGmfex1tn4w,0.725028676,0.41,7.06,36.54,11.61,0.13,0,31.64,0,11.79,0,0.07,0
886,2023-04,44.51354873249663,11.30090034411121,z7SEGrxmPe-rn3WcNM5RUw,0.759789113,1.3,7.54,9.88,42.82,0,1.17,28.87,0.08,5.05,0.14,0,0
887,2022-03,44.5144785,11.30690510491394,SbMsSoZCLw091raH8UU4Hw,0.732523864,2.99,4.68,35.69,17.18,0,0.01,28.9,0,9.59,0.03,0.28,0
888,2023-04,44.51070892602531,11.30115097597905,o8khPi3ZBF7sl655UEFOyw,0.771754153,0.86,16.19,19.57,18.45,0,11.73,30.3,0,1.98,0.37,0.03,0
889,2023-04,44.50874489989864,11.29891752531381,h_xavJFu7b7qjY-KkoO9ag,0.789107668,0,0,0,0,0,0,0,0,0,0,0,0
890,2023-04,44.50961471841151,11.30165713632314,LVdGupSgXPEPuuyjAqea7g,0.774570974,2.08,36.2,7.53,16.93,0,6.83,20.1,0,8.14,0.04,0,0.15
891,2022-06,44.50842374106423,11.30328315316446,jM0TlQ_NvDvk3ZYwxJwL1g,0.772936594,0,0,0,0,0,0,0,0,0,0,0,0
892,2022-05,44.51610668994228,11.35393731401438,kCbGFnHd8JSzZAauwaLraA,0.496089177,0.69,14.96,14.7,29.78,0,5.84,25.24,0.01,3.86,0.31,0.08,0
